policy_loss,explained_variance,fps,total_timesteps,n_updates,policy_entropy,time_elapsed,approxkl,value_loss,clipfrac,serial_timesteps
5.054055e-06,0.6348788738250732,558,21376,167,0.6927537,39.44151496887207,4.8615716e-09,0.017094932,0.0,21376
-1.301337e-05,0.6748911738395691,568,21504,168,0.6927467,39.671720027923584,4.2698446e-08,0.020064473,0.0,21504
-4.1306484e-06,0.6854139566421509,555,21632,169,0.6927232,39.89788794517517,3.5484153e-08,0.016037362,0.0,21632
-1.5704194e-05,0.6585652232170105,575,21760,170,0.69266635,40.1290819644928,7.520961e-08,0.015115183,0.0,21760
4.2539323e-06,0.6840149462223053,559,21888,171,0.6926509,40.352458000183105,6.177869e-09,0.018889122,0.0,21888
1.818873e-06,0.7112372815608978,573,22016,172,0.6926764,40.58230686187744,1.4778723e-08,0.017733293,0.0,22016
-3.912684e-05,0.6827559173107147,559,22144,173,0.6926352,40.80632781982422,7.7813326e-08,0.014092858,0.0,22144
2.021552e-07,0.6894771158695221,572,22272,174,0.69265836,41.03606200218201,3.9758902e-08,0.012350647,0.0,22272
-6.226025e-05,0.7281742691993713,557,22400,175,0.69271725,41.26071000099182,1.0772643e-07,0.010946067,0.0,22400
-1.9538915e-05,0.7243073582649231,572,22528,176,0.69264597,41.4911470413208,1.0585828e-07,0.014453517,0.0,22528
-2.4359208e-05,0.6564228534698486,571,22656,177,0.6925869,41.715800762176514,5.977813e-08,0.015487809,0.0,22656
-4.4638175e-05,0.7038247287273407,557,22784,178,0.69271165,41.94076490402222,1.5951238e-07,0.015191673,0.0,22784
4.803296e-06,0.675918698310852,574,22912,179,0.6926218,42.17129397392273,1.862334e-08,0.014168707,0.0,22912
-1.4510006e-06,0.6562017500400543,556,23040,180,0.692691,42.39508676528931,3.1717475e-09,0.015817598,0.0,23040
-5.2047195e-05,0.6785014271736145,572,23168,181,0.6925661,42.62604379653931,9.49098e-08,0.009240735,0.0,23168
7.6672295e-06,0.6942255795001984,552,23296,182,0.69261175,42.85043692588806,1.1998679e-08,0.018124273,0.0,23296
-0.0003210823,0.676626443862915,573,23424,183,0.69262266,43.08360195159912,8.883227e-07,0.01807294,0.0,23424
1.8196064e-05,0.7462566196918488,529,23552,184,0.69266224,43.30779695510864,4.112626e-07,0.01652062,0.0,23552
-4.406669e-06,0.7260970771312714,571,23680,185,0.6927396,43.55063509941101,5.6798175e-09,0.013352361,0.0,23680
-9.8221935e-06,0.6278253793716431,556,23808,186,0.6926171,43.775577783584595,1.0258975e-08,0.010152667,0.0,23808
-6.304006e-06,0.7145922780036926,573,23936,187,0.6927142,44.00684380531311,1.9994905e-08,0.013813973,0.0,23936
-6.985967e-06,0.760454073548317,569,24064,188,0.6927022,44.23100185394287,2.4303327e-08,0.010539806,0.0,24064
-1.520419e-05,0.6987952589988708,558,24192,189,0.69274384,44.45700407028198,8.9263295e-08,0.017319538,0.0,24192
-1.3493816e-05,0.7601904720067978,573,24320,190,0.6927029,44.68721795082092,1.9773903e-08,0.013908131,0.0,24320
-9.812554e-05,0.7434894144535065,558,24448,191,0.6927143,44.9113507270813,2.5839822e-07,0.01319833,0.0,24448
1.0115327e-06,0.714203268289566,573,24576,192,0.69261914,45.141427993774414,1.2073501e-07,0.011100597,0.0,24576
-1.4822581e-05,0.6901704370975494,560,24704,193,0.6926095,45.365715980529785,5.1067573e-08,0.011752545,0.0,24704
-7.958757e-05,0.7976734638214111,572,24832,194,0.6925019,45.59491991996765,2.4578563e-07,0.008137967,0.0,24832
-2.018013e-05,0.668592631816864,559,24960,195,0.69258183,45.81963086128235,1.6502737e-07,0.012457908,0.0,24960
4.8478832e-06,0.7353144586086273,574,25088,196,0.69258213,46.049171924591064,8.1103515e-09,0.014530295,0.0,25088
-1.532433e-05,0.7667359113693237,557,25216,197,0.6925609,46.27300477027893,1.9217515e-08,0.013330363,0.0,25216
-4.656031e-06,0.7858745008707047,572,25344,198,0.6925399,46.50356101989746,2.8694453e-08,0.009881321,0.0,25344
-5.6215213e-05,0.742259681224823,567,25472,199,0.6925427,46.72797083854675,1.0101543e-07,0.0072092735,0.0,25472
-6.783451e-05,0.7484264373779297,558,25600,200,0.69263256,46.95439171791077,2.0690732e-07,0.0110875135,0.0,25600
-3.898365e-05,0.7232264578342438,572,25728,201,0.69238746,47.18464994430542,6.704505e-08,0.012925465,0.0,25728
