approxkl,value_loss,clipfrac,explained_variance,n_updates,time_elapsed,policy_loss,fps,serial_timesteps,policy_entropy,total_timesteps
nan,nan,0.0,nan,276,107.38907217979431,nan,462,35328,nan,35328
nan,nan,0.0,nan,277,107.66679501533508,nan,411,35456,nan,35456
nan,nan,0.0,nan,278,107.97883009910583,nan,432,35584,nan,35584
nan,nan,0.0,nan,279,108.276132106781,nan,388,35712,nan,35712
nan,nan,0.0,nan,280,108.6069860458374,nan,358,35840,nan,35840
nan,nan,0.0,nan,281,108.96556115150452,nan,343,35968,nan,35968
nan,nan,0.0,nan,282,109.33925008773804,nan,373,36096,nan,36096
nan,nan,0.0,nan,283,109.68316698074341,nan,337,36224,nan,36224
nan,nan,0.0,nan,284,110.06385111808777,nan,370,36352,nan,36352
nan,nan,0.0,nan,285,110.41017603874207,nan,385,36480,nan,36480
nan,nan,0.0,nan,286,110.74352216720581,nan,373,36608,nan,36608
nan,nan,0.0,nan,287,111.08869099617004,nan,411,36736,nan,36736
nan,nan,0.0,nan,288,111.40050721168518,nan,411,36864,nan,36864
nan,nan,0.0,nan,289,111.71247696876526,nan,417,36992,nan,36992
nan,nan,0.0,nan,290,112.02013802528381,nan,323,37120,nan,37120
nan,nan,0.0,nan,291,112.41687202453613,nan,243,37248,nan,37248
nan,nan,0.0,nan,292,112.9447751045227,nan,409,37376,nan,37376
nan,nan,0.0,nan,293,113.25867128372192,nan,405,37504,nan,37504
nan,nan,0.0,nan,294,113.57590818405151,nan,437,37632,nan,37632
nan,nan,0.0,nan,295,113.86963510513306,nan,377,37760,nan,37760
nan,nan,0.0,nan,296,114.20996832847595,nan,430,37888,nan,37888
nan,nan,0.0,nan,297,114.50902915000916,nan,382,38016,nan,38016
nan,nan,0.0,nan,298,114.84538125991821,nan,363,38144,nan,38144
nan,nan,0.0,nan,299,115.1986300945282,nan,365,38272,nan,38272
nan,nan,0.0,nan,300,115.54997420310974,nan,419,38400,nan,38400
nan,nan,0.0,nan,301,115.85652613639832,nan,412,38528,nan,38528
nan,nan,0.0,nan,302,116.16816711425781,nan,444,38656,nan,38656
nan,nan,0.0,nan,303,116.45729112625122,nan,426,38784,nan,38784
nan,nan,0.0,nan,304,116.7585940361023,nan,448,38912,nan,38912
nan,nan,0.0,nan,305,117.04503202438354,nan,368,39040,nan,39040
